,C,gamma,score
0,0.01,scale,-0.06443777827345798
1,0.01,auto,-0.06443777827345798
2,0.1,scale,-0.02242030015695118
3,0.1,auto,-0.02242030015695118
4,1.0,scale,0.2935053354128635
5,1.0,auto,0.2935053354128635
6,10.0,scale,0.770260211008484
7,10.0,auto,0.770260211008484
0,0.01,scale,-0.0929363992189971
1,0.01,auto,-0.0929363992189971
2,0.1,scale,-0.05240089006327508
3,0.1,auto,-0.05240089006327508
4,1.0,scale,0.2721933697839426
5,1.0,auto,0.2721933697839426
6,10.0,scale,0.785058517777073
7,10.0,auto,0.785058517777073
0,0.01,scale,-0.05529537206452395
1,0.01,auto,-0.05529537206452395
2,0.1,scale,-0.01389740601774925
3,0.1,auto,-0.01389740601774925
4,1.0,scale,0.28183319586078714
5,1.0,auto,0.28183319586078714
6,10.0,scale,0.7500122925496617
7,10.0,auto,0.7500122925496617
0,0.01,scale,-0.02604994526955462
1,0.01,auto,-0.02604994526955462
2,0.1,scale,0.022779140846603707
3,0.1,auto,0.022779140846603707
4,1.0,scale,0.37018530041497144
5,1.0,auto,0.37018530041497144
6,10.0,scale,0.8552747460393187
7,10.0,auto,0.8552747460393187
0,0.01,scale,-0.06843889922356561
1,0.01,auto,-0.06843889922356561
2,0.1,scale,-0.023364199937121684
3,0.1,auto,-0.023364199937121684
4,1.0,scale,0.2894236655107497
5,1.0,auto,0.2894236655107497
6,10.0,scale,0.754608049740993
7,10.0,auto,0.754608049740993
