"start_station_name","lat","long","popularnosc_trasy_start"
Redwood City Public Library,37.484219,-122.227424,213
Franklin at Maple,37.481758,-122.226904,224
San Mateo County Center,37.487615999999996,-122.229951,287
Redwood City Medical Center,37.487682,-122.223492,311
Mezes Park,37.491269,-122.23623400000001,341
Stanford in Redwood City,37.48537,-122.20328799999999,436
Park at Olive,37.425683899999996,-122.13777749999998,750
Santa Clara County Civic Center,37.352601,-121.90573300000001,840
California Ave Caltrain Station,37.429082,-122.14280500000001,1026
Rengstorff Avenue / California Street,37.400240999999994,-122.099076,1129
SJSU 4th at San Carlos,37.332808,-121.88389099999999,1170
Adobe on Almaden,37.331415,-121.8932,1257
Cowper at University,37.448598,-122.159504,1374
Washington at Kearney,37.795425,-122.40476699999999,1472
SJSU - San Salvador at 9th,37.333954999999996,-121.877349,1473
Arena Green / SAP Center,37.332692,-121.900084,1496
University and Emerson,37.444521,-122.16309299999999,1512
Redwood City Caltrain Station,37.486078000000006,-122.23208899999999,1554
San Jose Civic Center,37.330698,-121.888979,1594
Evelyn Park and Ride,37.390277000000005,-122.066553,1667
St James Park,37.339301,-121.88993700000002,1680
San Salvador at 1st,37.330165,-121.88583100000001,1692
Ryland Park,37.342725,-121.89561699999999,1747
San Antonio Shopping Center,37.400443,-122.10833799999999,1818
Japantown,37.348742,-121.89471499999999,1910
San Antonio Caltrain Station,37.406940000000006,-122.10675800000001,1990
MLK Library,37.335885,-121.88566000000002,2034
Castro Street and El Camino Real,37.385956,-122.083678,2035
Palo Alto Caltrain Station,37.443988,-122.164759,2111
Paseo de San Antonio,37.333798,-121.88694299999999,2233
San Jose City Hall,37.337391,-121.886995,2393
Post at Kearney,37.788975,-122.403452,2503
San Pedro Square,37.336721000000004,-121.894074,2917
Mountain View City Hall,37.389218,-122.081896,2984
Santa Clara at Almaden,37.333988,-121.894902,3861
San Francisco City Hall,37.77865,-122.41823500000001,4535
Mountain View Caltrain Station,37.394358000000004,-122.07671299999998,6544
Golden Gate at Polk,37.781332,-122.418603,7342
San Jose Diridon Caltrain Station,37.329732,-121.90178200000001,9558
Davis at Jackson,37.79728,-122.398436,9957
Clay at Battery,37.795001,-122.39997,9994
Broadway St at Battery St,37.798541,-122.40086200000002,10310
Embarcadero at Vallejo,37.799953,-122.398525,10592
Yerba Buena Center of the Arts (3rd @ Howard),37.784878000000006,-122.40101399999999,11251
Commercial at Montgomery,37.794230999999996,-122.402923,11888
Spear at Folsom,37.790302000000004,-122.39063700000001,11949
Mechanics Plaza (Market at Battery),37.7913,-122.399051,12224
Powell at Post (Union Square),37.788446,-122.408499,12496
South Van Ness at Market,37.774814,-122.418954,12880
Howard at 2nd,37.786978000000005,-122.39810800000001,13163
"5th at Howard",37.781752000000004,-122.40512700000001,13526
Embarcadero at Folsom,37.791464000000005,-122.391034,14054
Civic Center BART (7th at Market),37.781039,-122.411748,14102
Embarcadero at Bryant,37.787152,-122.38801299999999,14811
Beale at Market,37.792251,-122.39708600000002,15709
"2nd at Folsom",37.785299,-122.39623600000002,15940
Grant Avenue at Columbus Avenue,37.798522,-122.40724499999999,16306
Powell Street BART,37.783871000000005,-122.408433,18378
"2nd at South Park",37.782259,-122.392738,18496
Market at 4th,37.786305,-122.40496599999999,20165
Market at 10th,37.776619000000004,-122.41738500000001,20272
Townsend at 7th,37.771058000000004,-122.402717,23724
Market at Sansome,37.789625,-122.400811,24172
Steuart at Market,37.794139,-122.394434,24838
"2nd at Townsend",37.780526,-122.39028799999998,25837
Temporary Transbay Terminal (Howard at Beale),37.789756,-122.39464299999999,26089
Embarcadero at Sansome,37.80477,-122.40323400000001,27713
Harry Bridges Plaza (Ferry Building),37.795392,-122.394203,32934
San Francisco Caltrain 2 (330 Townsend),37.7766,-122.39546999999999,33742
San Francisco Caltrain (Townsend at 4th),37.776617,-122.39526000000001,49092
